Time [s],Packet ID,MOSI,MISO
2.433003,89,'0' (0x00),'0' (0x00)
2.433040375,90,' (0x27),'3' (0x03)
2.433046625,90,'0' (0x00),'16' (0x10)
2.433084,91,' (0x27),'3' (0x03)
2.43309025,91,'0' (0x00),'16' (0x10)
2.433127625,92,' (0x27),'3' (0x03)
2.433133875,92,'0' (0x00),'144' (0x90)
2.433175,93,$ (0x24),'3' (0x03)
2.433181125,93,'0' (0x00),'255' (0xFF)
2.433221625,94,'1' (0x01),'3' (0x03)
2.433227875,94,'0' (0x00),'16' (0x10)
2.433265,95,'129' (0x81),'3' (0x03)
2.4332715,95,'4' (0x04),'16' (0x10)
2.433321125,96,' (0x27),'3' (0x03)
2.43332725,96,'0' (0x00),'128' (0x80)
2.4333645,97,'165' (0xA5),'3' (0x03)
2.433370875,97,'0' (0x00),@ (0x40)
2.43340475,98,'128' (0x80),'3' (0x03)
2.433411125,98,'14' (0x0E),'3' (0x03)
2.433417375,98,'1' (0x01),'14' (0x0E)
2.433423625,98,7 (0x37),'14' (0x0E)
2.433429875,98,'0' (0x00),'14' (0x0E)
2.433437375,98,L (0x4C),'14' (0x0E)
2.433444625,98,O (0x4F),'14' (0x0E)
2.433452,98,: (0x3A),'14' (0x0E)
2.43345925,98,2 (0x32),'14' (0x0E)
2.433466625,98,m (0x6D),'14' (0x0E)
2.433473875,98,' ' (0x20),'14' (0x0E)
2.43348125,98,B (0x42),'14' (0x0E)
2.4334885,98,A (0x41),'14' (0x0E)
2.433495875,98,T (0x54),'14' (0x0E)
2.433503125,98,: (0x3A),'14' (0x0E)
2.4335105,98,v (0x76),'14' (0x0E)
2.433548625,99,'1' (0x01),'14' (0x0E)
2.43355475,99,'0' (0x00),'4' (0x04)
2.433592,100,'129' (0x81),'14' (0x0E)
2.433598375,100,'12' (0x0C),'4' (0x04)
2.43365025,101,'1' (0x01),'14' (0x0E)
2.433656375,101,'0' (0x00),'12' (0x0C)
2.433693625,102,'129' (0x81),'14' (0x0E)
2.4337,102,'4' (0x04),'12' (0x0C)
2.4337435,103,'1' (0x01),'14' (0x0E)
2.43374975,103,'0' (0x00),'12' (0x0C)
2.433787,104,'129' (0x81),'14' (0x0E)
2.433793375,104,'0' (0x00),'12' (0x0C)
2.43443775,105,= (0x3D),'14' (0x0E)
2.434444,105,'0' (0x00),'18' (0x12)
2.434481,106,'189' (0xBD),'14' (0x0E)
2.4344875,106,'22' (0x16),'18' (0x12)
2.434539125,107,( (0x28),'14' (0x0E)
2.434545375,107,'0' (0x00),'0' (0x00)
2.434582625,108,'165' (0xA5),'14' (0x0E)
2.434589125,108,@ (0x40),'0' (0x00)
2.43462825,109,'1' (0x01),'14' (0x0E)
2.4346345,109,'0' (0x00),'0' (0x00)
2.434671625,110,'129' (0x81),'14' (0x0E)
2.434678125,110,'16' (0x10),'0' (0x00)
2.43471425,111,' (0x27),'14' (0x0E)
2.4347205,111,'0' (0x00),'0' (0x00)
2.434757875,112,' (0x27),'14' (0x0E)
2.434764125,112,'0' (0x00),'16' (0x10)
2.4348015,113,' (0x27),'14' (0x0E)
2.43480775,113,'0' (0x00),'16' (0x10)
2.434845125,114,' (0x27),'14' (0x0E)
2.434851375,114,'0' (0x00),'144' (0x90)
2.4348925,115,$ (0x24),'14' (0x0E)
2.434898625,115,'0' (0x00),'255' (0xFF)
2.434939125,116,'1' (0x01),'14' (0x0E)
2.434945375,116,'0' (0x00),'16' (0x10)
2.4349825,117,'129' (0x81),'14' (0x0E)
2.434988875,117,'4' (0x04),'16' (0x10)
2.4350385,118,' (0x27),'14' (0x0E)
2.43504475,118,'0' (0x00),'128' (0x80)
2.435081875,119,'165' (0xA5),'14' (0x0E)
2.435088375,119,'0' (0x00),@ (0x40)
2.43512225,120,'128' (0x80),'14' (0x0E)
2.435128625,120,'14' (0x0E),'14' (0x0E)
2.43513475,120,'1' (0x01),'14' (0x0E)
2.435141125,120,7 (0x37),'14' (0x0E)
2.435147375,120,'0' (0x00),'14' (0x0E)
2.43515475,120,L (0x4C),'14' (0x0E)
2.435162125,120,O (0x4F),'14' (0x0E)
2.435169375,120,: (0x3A),'14' (0x0E)
2.43517675,120,3 (0x33),'14' (0x0E)
2.435184,120,m (0x6D),'14' (0x0E)
2.435191375,120,' ' (0x20),'14' (0x0E)
2.435198625,120,B (0x42),'14' (0x0E)
2.435206,120,A (0x41),'14' (0x0E)
2.43521325,120,T (0x54),'14' (0x0E)
2.435220625,120,: (0x3A),'14' (0x0E)
2.435227875,120,v (0x76),'14' (0x0E)
2.435266,121,'1' (0x01),'14' (0x0E)
2.43527225,121,'0' (0x00),'4' (0x04)
2.435309375,122,'129' (0x81),'14' (0x0E)
2.435315875,122,'12' (0x0C),'4' (0x04)
2.435367625,123,'1' (0x01),'14' (0x0E)
2.435373875,123,'0' (0x00),'12' (0x0C)
2.435411,124,'129' (0x81),'14' (0x0E)
2.4354175,124,'4' (0x04),'12' (0x0C)
2.435461,125,'1' (0x01),'14' (0x0E)
2.43546725,125,'0' (0x00),'12' (0x0C)
2.4355045,126,'129' (0x81),'14' (0x0E)
2.435510875,126,'0' (0x00),'12' (0x0C)
2.436142625,127,= (0x3D),'14' (0x0E)
2.436148875,127,'0' (0x00),'18' (0x12)
2.436185875,128,'189' (0xBD),'14' (0x0E)
2.436192375,128,'22' (0x16),'18' (0x12)
2.436244,129,( (0x28),'14' (0x0E)
2.43625025,129,'0' (0x00),'0' (0x00)
2.4362995,130,'165' (0xA5),'14' (0x0E)
2.436306,130,@ (0x40),'0' (0x00)
2.436345125,131,'1' (0x01),'14' (0x0E)
2.43635125,131,'0' (0x00),'0' (0x00)
2.4363885,132,'129' (0x81),'14' (0x0E)
2.436395,132,'16' (0x10),'0' (0x00)
2.436431125,133,' (0x27),'14' (0x0E)
2.436437375,133,'0' (0x00),'0' (0x00)
2.43647475,134,' (0x27),'14' (0x0E)
2.436481,134,'0' (0x00),'16' (0x10)
2.436518375,135,' (0x27),'14' (0x0E)
2.436524625,135,'0' (0x00),'16' (0x10)
2.436562,136,' (0x27),'14' (0x0E)
2.43656825,136,'0' (0x00),'144' (0x90)
2.436609375,137,$ (0x24),'14' (0x0E)
2.4366155,137,'0' (0x00),'255' (0xFF)
2.436656,138,'1' (0x01),'14' (0x0E)
2.43666225,138,'0' (0x00),'16' (0x10)
2.436699375,139,'129' (0x81),'14' (0x0E)
2.436705875,139,'4' (0x04),'16' (0x10)
2.4367555,140,' (0x27),'14' (0x0E)
2.436761625,140,'0' (0x00),'128' (0x80)
2.436798875,141,'165' (0xA5),'14' (0x0E)
2.43680525,141,'0' (0x00),@ (0x40)
2.436839125,142,'128' (0x80),'14' (0x0E)
2.4368455,142,'14' (0x0E),'14' (0x0E)
2.43685175,142,'1' (0x01),'14' (0x0E)
2.436858125,142,7 (0x37),'14' (0x0E)
2.43686425,142,'0' (0x00),'14' (0x0E)
2.43687175,142,L (0x4C),'14' (0x0E)
2.436879,142,O (0x4F),'14' (0x0E)
2.436886375,142,: (0x3A),'14' (0x0E)
2.436893625,142,4 (0x34),'14' (0x0E)
