Time[s], Data[Hex]
3.080825375, 4
3.080825625, 1
3.080825875, 5
3.080826125, 0
3.080826375, 4
3.080826625, 1
3.080826875, 5
3.080827125, 1
3.08082925, 0
3.0808295, 4
3.08082975, 0
3.08083, 4
3.08083025, 0
3.0808305, 4
3.08083075, 0
3.080831, 4
3.08083125, 0
3.0808315, 4
3.08083175, 0
3.080832, 4
3.08083225, 1
3.0808325, 5
3.08083275, 1
3.080833, 5
3.08083325, 1
3.08084875, 9
3.08087225, 1
3.080875, 5
3.08087525, 0
3.0808755, 4
3.08087575, 0
3.080876, 4
3.08087625, 0
3.0808765, 4
3.08087675, 0
3.080877, 4
3.08087725, 1
3.0808775, 5
3.08087775, 1
3.080878, 5
3.08087825, 0
3.0808785, 4
3.08087875, 1
3.080880875, 0
3.080881125, 4
3.080881375, 2
3.080881625, 6
3.080881875, 1
3.080882125, 5
3.080882375, 3
3.080882625, 7
3.080882875, 0
3.080883125, 4
3.080883375, 0
3.080883625, 4
3.080883875, 3
3.080884125, 7
3.080884375, 1
3.080884625, 5
3.080884875, 3
3.08090025, B
3.08092375, 1
3.0809265, 5
3.08092675, 0
3.080927, 4
3.08092725, 0
3.0809275, 4
3.08092775, 0
3.080928, 4
3.08092825, 0
3.0809285, 4
3.08092875, 1
3.080929, 5
3.08092925, 1
3.0809295, 5
3.08092975, 1
3.08093, 5
3.08093025, 3
3.080932375, 2
3.080932625, 6
3.080932875, 3
3.080933125, 7
3.080933375, 3
3.080933625, 7
3.080933875, 2
3.080934, 0
3.080934125, 4
3.080934375, 1
3.080934625, 5
3.080934875, 1
3.080935, 3
3.080935125, 7
3.080935375, 2
3.0809355, 0
3.080935625, 4
3.080935875, 0
3.080936125, 4
3.0809365, 3
3.080951875, B
3.080975375, 1
3.080978125, 5
3.080978375, 0
3.080978625, 4
3.080978875, 0
3.080979125, 4
3.080979375, 0
3.080979625, 4
3.080979875, 1
3.080980125, 5
3.080980375, 0
3.080980625, 4
3.080980875, 0
3.080981125, 4
3.080981375, 0
3.080981625, 4
3.080981875, 3
3.080984, 2
3.08098425, 6
3.0809845, 3
3.08098475, 7
3.080985, 0
3.08098525, 4
3.0809855, 0
3.08098575, 4
3.080986, 0
3.08098625, 4
3.0809865, 0
3.08098675, 4
3.080987, 0
3.08098725, 4
3.0809875, 0
3.08098775, 4
3.080988, 1
3.0810035, 9
3.081026875, 1
3.081029625, 5
3.081029875, 0
3.081030125, 4
3.081030375, 0
3.081030625, 4
3.081030875, 0
3.081031125, 4
3.081031375, 1
3.081031625, 5
3.081031875, 0
3.081032125, 4
3.081032375, 0
3.081032625, 4
3.081032875, 1
3.081033125, 5
3.081033375, 1
3.0810355, 0
3.08103575, 4
3.081036, 0
3.081036375, 4
3.081036625, 0
3.081036875, 4
3.081037125, 0
3.081037375, 4
3.081037625, 0
3.081037875, 4
3.081038125, 0
3.081038375, 4
3.081038625, 0
3.081038875, 4
3.081039125, 0
3.081039375, 4
3.081039625, 1
3.081055, 9
3.0810785, 1
3.08108125, 5
3.0810815, 0
3.08108175, 4
3.081082, 0
3.08108225, 4
3.0810825, 1
3.08108275, 5
3.081083, 1
3.08108325, 5
3.0810835, 0
3.08108375, 4
3.081084, 0
3.08108425, 4
3.0810845, 1
3.08108475, 5
3.081085, 3
3.081087125, 2
3.081087375, 6
3.081087625, 1
3.081087875, 5
3.081088125, 0
3.081088375, 4
3.081088625, 0
3.081088875, 4
3.081089125, 0
3.081089375, 4
3.081089625, 2
3.081089875, 6
3.081090125, 3
3.081090375, 7
3.081090625, 0
3.081090875, 4
3.081091125, 3
3.081106625, B
3.08113, 1
3.08113275, 5
3.081133, 0
3.08113325, 4
3.0811335, 1
3.08113375, 5
3.081134, 0
3.08113425, 4
3.0811345, 0
3.08113475, 4
3.081135, 1
3.08113525, 5
3.0811355, 0
3.08113575, 4
3.081136, 0
3.081136125, 1
3.081136375, 5
3.081136625, 1
3.08113875, 0
3.081139, 4
3.08113925, 1
3.0811395, 5
3.08113975, 0
3.08114, 4
3.08114025, 0
3.0811405, 4
3.08114075, 0
3.081141, 4
3.08114125, 0
3.0811415, 4
3.08114175, 0
3.081142, 4
3.08114225, 0
3.0811425, 4
3.08114275, 1
3.081158125, 9
3.081181625, 1
3.081184375, 5
3.081184625, 0
3.081184875, 4
3.081185125, 1
3.081185375, 5
3.081185625, 0
3.081185875, 4
3.081186125, 0
3.081186375, 4
3.081186625, 1
3.081186875, 5
3.081187125, 1
3.081187375, 5
3.081187625, 0
3.081187875, 4
3.081188125, 1
3.08119025, 0
3.0811905, 4
3.08119075, 0
3.081191, 4
3.08119125, 0
3.0811915, 4
3.08119175, 0
